Header:
v=0.500000
T=0.354797
zeta=1.000000
Body:
x_b,dx_b,y_b,dy_b,theta_b,dtheta_b,x_f,dx_f,y_f,dy_f,theta_f,dtheta_f,u_x,u_y,u_theta,t
0.052642,0.515759,0.261615,0.541742,0.169282,4.087533,0.046883,0.724336,0.007308,0.563960,-0.610582,4.341322,-1.007900,-0.107366,-0.001022,0.223522
0.054442,0.512936,0.263446,0.507101,0.183584,4.084099,0.049445,0.738449,0.009220,0.531124,-0.595353,4.358494,-1.007900,-0.107366,-0.001022,0.227070
0.056239,0.510114,0.265245,0.472461,0.197882,4.080664,0.052020,0.752562,0.011102,0.498287,-0.580108,4.375665,-1.007900,-0.107366,-0.001022,0.230618
0.058013,0.507291,0.266751,0.437820,0.212152,4.077230,0.054715,0.766674,0.012706,0.465451,-0.564718,4.392837,-1.007900,-0.107366,-0.001022,0.234166
0.059785,0.504469,0.268235,0.403179,0.226420,4.073796,0.057418,0.780787,0.014289,0.432614,-0.549317,4.410008,-1.007900,-0.107366,-0.001022,0.237714
0.061549,0.501646,0.269623,0.368539,0.240678,4.070361,0.060160,0.794899,0.015782,0.399778,-0.533868,4.427180,-1.007900,-0.107366,-0.001022,0.241262
0.063295,0.498824,0.270797,0.333898,0.254914,4.066927,0.062990,0.809012,0.017071,0.366941,-0.518313,4.444352,-1.007900,-0.107366,-0.001022,0.244810
0.065039,0.496001,0.271935,0.299258,0.269148,4.063493,0.065835,0.823125,0.018326,0.334105,-0.502740,4.461523,-1.007900,-0.107366,-0.001022,0.248358
0.066771,0.493179,0.272926,0.264617,0.283366,4.060058,0.068739,0.837237,0.019442,0.301268,-0.487094,4.478695,-1.007900,-0.107366,-0.001022,0.251906
0.068489,0.490356,0.273755,0.229977,0.297569,4.056624,0.071710,0.851350,0.020404,0.268432,-0.471369,4.495867,-1.007900,-0.107366,-0.001022,0.255454
0.070204,0.487534,0.274547,0.195336,0.311768,4.053190,0.074695,0.865462,0.021331,0.235595,-0.455624,4.513038,-1.007900,-0.107366,-0.001022,0.259002
0.071905,0.484711,0.275152,0.160696,0.325948,4.049755,0.077757,0.879575,0.022081,0.202759,-0.439787,4.530210,-1.007900,-0.107366,-0.001022,0.262550
0.073594,0.481888,0.275624,0.126055,0.340115,4.046321,0.080873,0.893687,0.022705,0.169922,-0.423885,4.547382,-1.007900,-0.107366,-0.001022,0.266098
0.075281,0.479066,0.276069,0.091415,0.354280,4.042887,0.084000,0.907800,0.023304,0.137085,-0.407968,4.564553,-1.007900,-0.107366,-0.001022,0.269646
0.076951,0.476243,0.276301,0.056774,0.368423,4.039452,0.087213,0.921913,0.023701,0.104249,-0.391947,4.581725,-1.007900,-0.107366,-0.001022,0.273194
0.078610,0.473421,0.276403,0.022134,0.382554,4.036018,0.090479,0.936025,0.023974,0.071412,-0.375861,4.598896,-1.007900,-0.107366,-0.001022,0.276742
0.080266,0.470598,0.276464,-0.012507,0.396680,4.032584,0.093763,0.950138,0.024208,0.038576,-0.359754,4.616068,-1.007900,-0.107366,-0.001022,0.280290
0.081907,0.467776,0.276342,-0.047147,0.410788,4.029149,0.097121,0.964250,0.024269,0.005739,-0.343557,4.633240,-1.007900,-0.107366,-0.001022,0.283838
0.083538,0.464953,0.276095,-0.081788,0.424884,4.025715,0.100530,0.978363,0.024211,-0.027097,-0.327297,4.650411,-1.007900,-0.107366,-0.001022,0.287386
0.085163,0.462131,0.275776,-0.116428,0.438973,4.022281,0.103967,0.992476,0.024086,-0.059934,-0.311002,4.667583,-1.007900,-0.107366,-0.001022,0.290934
0.086774,0.459308,0.275291,-0.151069,0.453045,4.018846,0.107473,1.006588,0.023802,-0.092770,-0.294625,4.684755,-1.007900,-0.107366,-0.001022,0.294482
0.088377,0.456486,0.274697,-0.185709,0.467107,4.015412,0.111023,1.020701,0.023416,-0.125607,-0.278194,4.701926,-1.007900,-0.107366,-0.001022,0.298030
